"C_HLEVEL","C_FULLNAME","C_NAME","C_SYNONYM_CD","C_VISUALATTRIBUTES","C_TOTALNUM","C_BASECODE","C_METADATAXML","C_FACTTABLECOLUMN","C_TABLENAME","C_COLUMNNAME","C_COLUMNDATATYPE","C_OPERATOR","C_DIMCODE","C_COMMENT","C_TOOLTIP","M_APPLIED_PATH","UPDATE_DATE","DOWNLOAD_DATE","IMPORT_DATE","SOURCESYSTEM_CD","VALUETYPE_CD","M_EXCLUSION_CD","C_PATH","C_SYMBOL","PCORI_BASECODE","OMOP_BASECODE"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\89\"," Visit at age 89 years old","N","LAE",(null),"DEM|AGE:89",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 89)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 90)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 89 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","89","89","89"
2,"\PCORI\ENCOUNTER\Age at visit\","Age at visit","N","CAE",(null),(null),(null),"concept_cd","CONCEPT_DIMENSION","concept_path","T","LIKE","\PCORI\ENCOUNTER\Age at visit\",(null),"The age-at-visit tree comes from the i2b2 demo ontology. It dynamically calculates patient age at visit based on encounter date and birth date.","@",[2010/08/18:10:59:52 AM],[2010/07/14:09:58:40 AM],[2010/07/14:09:58:40 AM],"lcp5",(null),(null),"\PCORI\ENCOUNTER\","Age at visit",(null),(null)
3,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","Visit at age >= 65 years old","N","FAE",(null),(null),(null),"encounter_num","visit_dimension","start_date","N",">=","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 65)-1)",(null),"Encounter \ Age at visit \ >= 65 years old","@",[2010/08/18:10:59:52 AM],[2010/07/14:09:58:40 AM],[2010/07/14:09:58:40 AM],"lcp5",(null),(null),"\PCORI\ENCOUNTER\Age at visit\",">= 65 years old",(null),(null)
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\65\"," Visit at age 65 years old","N","LAE",(null),"DEM|AGE:65",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 65)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 66)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 65 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","65","65","65"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\66\"," Visit at age 66 years old","N","LAE",(null),"DEM|AGE:66",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 66)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 67)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 66 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","66","66","66"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\67\"," Visit at age 67 years old","N","LAE",(null),"DEM|AGE:67",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 67)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 68)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 67 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","67","67","67"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\68\"," Visit at age 68 years old","N","LAE",(null),"DEM|AGE:68",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 68)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 69)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 68 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","68","68","68"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\69\"," Visit at age 69 years old","N","LAE",(null),"DEM|AGE:69",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 69)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 70)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 69 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","69","69","69"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\70\"," Visit at age 70 years old","N","LAE",(null),"DEM|AGE:70",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 70)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 71)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 70 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","70","70","70"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\71\"," Visit at age 71 years old","N","LAE",(null),"DEM|AGE:71",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 71)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 72)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 71 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","71","71","71"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\72\"," Visit at age 72 years old","N","LAE",(null),"DEM|AGE:72",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 72)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 73)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 72 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","72","72","72"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\73\"," Visit at age 73 years old","N","LAE",(null),"DEM|AGE:73",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 73)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 74)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 73 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","73","73","73"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\74\"," Visit at age 74 years old","N","LAE",(null),"DEM|AGE:74",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 74)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 75)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 74 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","74","74","74"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\75\"," Visit at age 75 years old","N","LAE",(null),"DEM|AGE:75",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 75)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 76)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 75 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","75","75","75"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\76\"," Visit at age 76 years old","N","LAE",(null),"DEM|AGE:76",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 76)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 77)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 76 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","76","76","76"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\77\"," Visit at age 77 years old","N","LAE",(null),"DEM|AGE:77",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 77)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 78)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 77 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","77","77","77"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\78\"," Visit at age 78 years old","N","LAE",(null),"DEM|AGE:78",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 78)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 79)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 78 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","78","78","78"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\79\"," Visit at age 79 years old","N","LAE",(null),"DEM|AGE:79",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 79)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 80)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 79 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","79","79","79"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\80\"," Visit at age 80 years old","N","LAE",(null),"DEM|AGE:80",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 80)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 81)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 80 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","80","80","80"
4,"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\81\"," Visit at age 81 years old","N","LAE",(null),"DEM|AGE:81",(null),"encounter_num","visit_dimension","start_date","N","BETWEEN","((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 81)-1) AND ((select birth_date from PCORI_Dev.dbo.patient_dimension where patient_num = PCORI_Dev.dbo.visit_dimension.patient_num) + (365.25 * 82)-1)",(null),"Encounter \ Age at visit \ >= 65 years old \ 81 years old","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\Age at visit\>= 65 years old\","81","81","81"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Utah\847xx\","847xx","N","LAE",(null),"LOCATION_CODE:847",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'847'",(null),"\Zip codes\Utah","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Utah\","847xx","847","847"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Armed Forces Europe\091xx\","091xx","N","LAE",(null),"LOCATION_CODE:091",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'091'",(null),"\Zip codes\Armed Forces Europe","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Armed Forces Europe\","091xx","091","091"
3,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Northern Mariana Islands\","Northern Mariana Islands","N","FAE",(null),(null),(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'969'",(null),"Demographics \ Zip codes \ Northern Mariana Islands","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\","Northern Mariana Islands",(null),(null)
3,"\PCORI\ENCOUNTER\FACILITY_LOCATION\New Hampshire\","New Hampshire","N","FAE",(null),(null),(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'035','034','036','033','037','038','032','030','002','031'",(null),"Demographics \ Zip codes \ New Hampshire","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\","New Hampshire",(null),(null)
3,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Federated States of Micronesia\","Federated States of Micronesia","N","FAE",(null),(null),(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'969'",(null),"Demographics \ Zip codes \ Federated States of Micronesia","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\","Federated States of Micronesia",(null),(null)
6,"\PCORI\ENCOUNTER\DRG\01\(03) Diseases of Ear,Nose,Throat\Medical\(186) Dental and Oral Dis Excep~\","Dental and Oral Dis Except Extractions and Restorations, Age 0-17","N","LAE",(null),"CMSDRG:186",(null),"concept_cd","CONCEPT_DIMENSION","concept_path","T","LIKE","\PCORI\ENCOUNTER\DRG\01\(03) Diseases of Ear,Nose,Throat\Medical\(186) Dental and Oral Dis Excep~\",(null),"CMS-DRG \ Diseases of Ear,Nose,Throat \ Medical \ Dental and Oral Dis Except Extractions and Restorations, Age 0-17","@",[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],"RPDR_DRG",(null),(null),"\PCORI\ENCOUNTER\DRG\01\(03) Diseases of Ear,Nose,Throat\Medical\","(186) Dental and Oral Dis Excep~","186","186"
4,"\PCORI\ENCOUNTER\DRG\01\(09) Diseases of Skin and Breast\","Diseases of Skin and Breast","N","FAE",(null),"MDC:009",(null),"concept_cd","CONCEPT_DIMENSION","concept_path","T","LIKE","\PCORI\ENCOUNTER\DRG\01\(09) Diseases of Skin and Breast\",(null),"CMS-DRG \ Diseases of Skin and Breast","@",[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],[2014/08/18:05:30:44 PM],"RPDR_DRG",(null),(null),"\PCORI\ENCOUNTER\DRG\01\","(09) Diseases of Skin and Breast","009","009"
4,"\PCORI\ENCOUNTER\FACILITY_LOCATION\Michigan\494xx\","494xx","N","LAE",(null),"LOCATION_CODE:494",(null),"patient_num","VISIT_DIMENSION","LOCATION_ZIP","T","IN","'494'",(null),"\Zip codes\Michigan","@",[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],[2007/04/10:12:00:00 AM],"DEM2FACT CONVERT",(null),(null),"\PCORI\ENCOUNTER\FACILITY_LOCATION\Michigan\","494xx","494","494"
